Image Name,10% noise,20% noise,30% noise,40% noise,50% noise,60% noise,70% noise,80% noise,90% noise
cameraman ,43.65,40.18,37.84,35.97,34.29,32.04,30.58,28.24,25.21
house ,51.51,47.54,44.89,42.41,40.08,37.81,35.69,33.25,30.05
jetplane ,41.90,38.66,36.51,34.73,32.94,31.29,29.48,27.60,24.73
lake ,39.07,35.75,33.75,32.00,30.55,29.04,27.38,25.62,23.18
lena_gray_512 ,42.60,39.14,37.01,35.41,33.77,32.12,30.60,28.81,26.25
livingroom ,38.06,34.98,32.93,31.43,30.02,28.60,27.12,25.48,23.34
mandril_gray ,38.50,35.21,33.05,31.32,29.74,28.11,26.38,24.51,22.04
peppers_gray ,41.62,38.42,36.32,34.73,33.23,31.75,30.14,28.70,26.18
pirate ,39.55,36.40,34.36,32.77,31.24,29.81,28.35,26.71,24.46
walkbridge ,35.58,32.35,30.54,28.89,27.50,26.17,24.84,23.34,21.32
woman_darkhair ,49.14,45.92,43.56,41.75,40.16,38.34,36.60,34.70,31.70
Average,41.93,38.60,36.43,34.68,33.05,31.37,29.74,27.91,25.31
